session_id,user_id,session_date,pages_visited,session_duration_min
S000000,U09097,2024-06-27 00:00:00,8,5.33359816527428
S000001,U07709,2024-02-11 00:00:00,9,10.1492663557379
S000002,U07644,2024-02-27 00:00:00,12,17.7805647276158
S000003,U00398,2024-03-08 00:00:00,5,3.16655230182402
S000004,U09858,2024-03-18 00:00:00,6,19.4112899961353
S000005,U00880,2024-12-28 00:00:00,9,3.29731634137705
S000006,U04511,2024-04-22 00:00:00,7,8.08130704766912
S000007,U03590,2024-08-24 00:00:00,12,15.9789404478064
S000008,U07156,2024-01-29 00:00:00,12,2.14856179146504
S000009,U03422,2024-05-07 00:00:00,13,36.4903258816116
S000010,U02032,2024-10-08 00:00:00,13,8.09290339401013
S000011,U08925,2024-08-14 00:00:00,6,9.01019418609606
S000012,U08511,2024-12-06 00:00:00,10,6.91148594883893
S000013,U07555,2024-09-03 00:00:00,6,11.0694998340973
S000014,U09356,2024-05-08 00:00:00,9,6.04669374753399
S000015,U09459,2024-11-27 00:00:00,9,17.0633533546731
S000016,U09256,2024-02-03 00:00:00,12,5.49888686560284
S000017,U08132,2024-04-27 00:00:00,4,12.7838646664042
S000018,U00703,2024-01-15 00:00:00,13,1.87173759805389
S000019,U01351,2024-07-06 00:00:00,7,1.0
S000020,U06816,2024-09-11 00:00:00,4,1.0
S000021,U08705,2024-12-22 00:00:00,6,6.12113595637442
S000022,U08815,2024-09-21 00:00:00,4,20.9141130779397
S000023,U08820,2024-07-22 00:00:00,6,11.8641828710841
S000024,U00676,2024-03-21 00:00:00,7,4.21002826132592
S000025,U07815,2024-09-21 00:00:00,6,1.0
S000026,U04174,2024-02-05 00:00:00,6,35.2052590656849
S000027,U05941,2024-03-03 00:00:00,4,7.88524296826438
S000028,U06188,2024-02-05 00:00:00,7,10.4595445527686
S000029,U01045,2024-08-19 00:00:00,13,12.2429160417285
S000030,U00836,2024-11-10 00:00:00,17,7.85739674476913
S000031,U04771,2024-04-14 00:00:00,8,3.89554213407738
S000032,U05185,2024-07-19 00:00:00,9,1.0
S000033,U01541,2024-01-22 00:00:00,6,40.1677329126312
S000034,U05975,2024-02-21 00:00:00,10,3.26531929282257
S000035,U07815,2024-07-28 00:00:00,4,28.0143517664785
S000036,U02702,2024-06-25 00:00:00,11,21.1718856721149
S000037,U06877,2024-03-03 00:00:00,9,51.6944321857387
S000038,U07048,2024-10-18 00:00:00,2,52.9242614738867
S000039,U09253,2024-01-14 00:00:00,10,13.9167600323298
S000040,U08612,2024-12-03 00:00:00,6,1.15624523468392
S000041,U03490,2024-10-11 00:00:00,9,21.3697169216452
S000042,U05890,2024-12-11 00:00:00,7,12.6795404593246
S000043,U07984,2024-02-13 00:00:00,9,5.74253512390458
S000044,U07415,2024-02-06 00:00:00,9,6.6471958173751
S000045,U04603,2024-05-11 00:00:00,8,1.0
S000046,U04122,2024-05-07 00:00:00,12,1.0
S000047,U03183,2024-08-27 00:00:00,8,34.4939300248309
S000048,U09378,2024-04-05 00:00:00,5,10.4909205794734
S000049,U06256,2024-10-06 00:00:00,11,8.86193390614188
S000050,U07250,2024-05-25 00:00:00,10,13.9553677175874
S000051,U02093,2024-04-21 00:00:00,5,2.81054741107325
S000052,U06610,2024-02-18 00:00:00,12,2.12218085125683
S000053,U00650,2024-02-07 00:00:00,11,6.39293424205479
S000054,U06503,2024-07-07 00:00:00,6,22.6195615867134
S000055,U01985,2024-05-11 00:00:00,6,9.58341167813646
S000056,U02828,2024-11-15 00:00:00,9,6.83656535899182
S000057,U02412,2024-11-04 00:00:00,6,1.0
S000058,U05618,2024-05-06 00:00:00,11,2.85530961998667
S000059,U05516,2024-08-16 00:00:00,6,17.4149929295208
S000060,U00878,2024-06-23 00:00:00,8,18.4490241962539
S000061,U02112,2024-01-05 00:00:00,6,6.25600931068569
S000062,U08715,2024-07-12 00:00:00,11,19.3233944850695
S000063,U02140,2024-01-24 00:00:00,8,9.6476236441894
S000064,U06536,2024-05-15 00:00:00,10,6.70838405168612
S000065,U01741,2024-09-04 00:00:00,6,4.61303774300226
S000066,U00743,2024-01-28 00:00:00,13,8.81006010986922
S000067,U03302,2024-09-10 00:00:00,9,7.03778598357423
S000068,U04830,2024-01-17 00:00:00,5,32.9509593253532
S000069,U02856,2024-12-25 00:00:00,4,29.7507516271972
S000070,U01908,2024-10-07 00:00:00,7,10.3972333175443
S000071,U04159,2024-02-28 00:00:00,8,2.28957236650274
S000072,U03037,2024-02-06 00:00:00,9,6.82767204826088
S000073,U02896,2024-02-17 00:00:00,10,10.3425957389703
S000074,U05935,2024-05-08 00:00:00,7,4.68587136741158
S000075,U03786,2024-11-24 00:00:00,10,6.30374078580613
S000076,U09984,2024-01-20 00:00:00,9,6.07885478360444
S000077,U08146,2024-06-21 00:00:00,5,8.52031403417554
S000078,U03212,2024-09-03 00:00:00,8,26.7202335177446
S000079,U03391,2024-09-27 00:00:00,6,8.72505625632092
S000080,U07243,2024-05-13 00:00:00,8,1.0
S000081,U03502,2024-06-11 00:00:00,6,22.8841913698431
S000082,U01955,2024-05-31 00:00:00,6,1.89276629212187
S000083,U04076,2024-03-28 00:00:00,16,9.67587744281541
S000084,U03079,2024-02-19 00:00:00,6,13.431184385315
S000085,U00906,2024-12-12 00:00:00,6,4.8926481519822
S000086,U03610,2024-10-18 00:00:00,4,1.0
S000087,U09506,2024-03-26 00:00:00,10,7.18101914587148
S000088,U01249,2024-07-20 00:00:00,6,13.7646424377039
S000089,U01706,2024-05-28 00:00:00,8,23.2042042999667
S000090,U00782,2024-11-16 00:00:00,8,7.00305854764276
S000091,U06735,2024-01-01 00:00:00,15,8.17715211935451
S000092,U05708,2024-11-18 00:00:00,10,30.1383752074229
S000093,U02755,2024-09-04 00:00:00,10,22.680161829887
S000094,U01855,2024-08-08 00:00:00,5,21.8852844283242
S000095,U06614,2024-12-10 00:00:00,10,1.80370201846141
S000096,U00782,2024-08-12 00:00:00,18,1.0
S000097,U00051,2024-10-14 00:00:00,9,4.93694491677216
S000098,U03797,2024-11-21 00:00:00,5,1.0
S000099,U09321,2024-06-07 00:00:00,7,21.433158422965
S000100,U04478,2024-12-20 00:00:00,11,26.3187505831766
S000101,U02664,2024-10-21 00:00:00,4,9.12723922359352
S000102,U00678,2024-07-25 00:00:00,16,36.6803308966508
S000103,U07591,2024-08-25 00:00:00,9,3.16705154070103
S000104,U03943,2024-06-02 00:00:00,6,2.22878993427023
S000105,U03278,2024-03-29 00:00:00,7,1.0
S000106,U04723,2024-11-25 00:00:00,8,5.50199816212512
S000107,U02086,2024-03-23 00:00:00,5,3.37940902344556
S000108,U01572,2024-12-09 00:00:00,7,1.0
S000109,U06247,2024-01-05 00:00:00,7,16.9426401935098
S000110,U08566,2024-07-05 00:00:00,11,1.12390342157625
S000111,U05709,2024-12-03 00:00:00,6,2.79586188591964
S000112,U00931,2024-11-06 00:00:00,7,1.14890580429093
S000113,U07817,2024-04-30 00:00:00,10,10.1933791584342
S000114,U06780,2024-08-27 00:00:00,13,3.44983897481864
S000115,U07506,2024-06-04 00:00:00,10,32.4241866655468
S000116,U06943,2024-08-13 00:00:00,8,7.76502467167039
S000117,U06122,2024-11-09 00:00:00,12,22.169999640246
S000118,U00104,2024-03-03 00:00:00,7,8.63824789083569
S000119,U07670,2024-09-19 00:00:00,9,4.9580598809123
S000120,U06255,2024-06-12 00:00:00,7,23.4322090230777
S000121,U08321,2024-10-06 00:00:00,3,7.03873630336137
S000122,U04829,2024-10-27 00:00:00,9,1.00403098440491
S000123,U01506,2024-07-27 00:00:00,5,1.0
S000124,U01325,2024-01-10 00:00:00,9,1.0
S000125,U04863,2024-04-25 00:00:00,8,3.9114996555779
S000126,U04507,2024-04-21 00:00:00,6,1.0
S000127,U00382,2024-01-09 00:00:00,8,8.03642428906941
S000128,U03801,2024-03-17 00:00:00,11,33.4754706559559
S000129,U09716,2024-06-12 00:00:00,9,5.35723331640291
S000130,U04080,2024-05-12 00:00:00,10,12.95979892957
S000131,U04923,2024-12-10 00:00:00,5,46.7862870749636
S000132,U07750,2024-01-19 00:00:00,12,39.962574348956
S000133,U07867,2024-02-25 00:00:00,7,7.57705661479101
S000134,U01516,2024-10-14 00:00:00,8,31.5381825929941
S000135,U08284,2024-07-22 00:00:00,9,6.58069927367681
S000136,U09437,2024-07-17 00:00:00,6,5.68692952000802
S000137,U06746,2024-01-07 00:00:00,5,5.7524234298576
S000138,U07521,2024-03-01 00:00:00,9,21.2503624682221
S000139,U01484,2024-08-27 00:00:00,8,20.9882452345732
S000140,U01592,2024-04-08 00:00:00,9,2.46069112861031
S000141,U00893,2024-01-05 00:00:00,7,7.9371059650297
S000142,U04513,2024-11-18 00:00:00,8,2.31277606666928
S000143,U03328,2024-06-16 00:00:00,5,8.41657901096731
S000144,U02435,2024-12-07 00:00:00,11,10.8440410066205
S000145,U04824,2024-01-22 00:00:00,10,4.68497613095974
S000146,U00590,2024-05-02 00:00:00,7,1.0
S000147,U07265,2024-11-17 00:00:00,7,1.19687923526829
S000148,U03969,2024-01-18 00:00:00,11,1.0
S000149,U08452,2024-03-20 00:00:00,10,5.86020565659634
S000150,U01111,2024-06-10 00:00:00,8,55.8387475319414
S000151,U08109,2024-07-14 00:00:00,7,12.9057155282573
S000152,U04706,2024-05-21 00:00:00,8,1.61315426087434
S000153,U07724,2024-09-17 00:00:00,5,8.60460189182499
S000154,U04646,2024-07-19 00:00:00,10,1.54694427540704
S000155,U08025,2024-07-11 00:00:00,8,4.09962603117304
S000156,U06580,2024-11-16 00:00:00,8,18.4839151684531
S000157,U06159,2024-11-21 00:00:00,6,5.28347745173289
S000158,U07236,2024-03-09 00:00:00,10,4.41839150014238
S000159,U06060,2024-08-14 00:00:00,16,21.9062493207685
S000160,U07777,2024-04-07 00:00:00,3,12.0125928324655
